No,word,POST,Meaning,Amharic,"["""
1,abase,v,"To lower in position, estimation, or the like; degrade",ዝቅ ማድረግ፣ ማዋረድ,
2,abash,v,to make embarrassed or ashamed,ማሳፈር፣ ማፍረር,
3,abbess,n,The lady superior of a nunnery,የመነኮሳት ቤት አለቃ ሴት,
4,abbey,n,The group of buildings which collectively form the dwelling-place of a society of monks or nuns,የመነኮሳት ገዳም ሕንጻዎች,
5,abbot,n,The superior of a community of monks,የመነኮሳት ቤት አለቃ ወንድ,
6,abdicate,v,To give up (royal power or the like),ዙፋን መተው፣ ሥልጣን መስጠት,
7,abdomen,n,"In mammals, the visceral cavity between the diaphragm and the pelvic floor; the belly",ሆድ፣ የሆድ ክፍል,
8,abdominal,n,"Of, pertaining to, or situated on the abdomen",የሆድ ባለቤት፣ ከሆድ ጋር የተያያዘ,
9,abduction,n,"A carrying away of a person against his will, or illegally",ጠለፋ፣ በሕገ ወጥ መንገድ ማራቅ,
10,abed,adv,In bed; on a bed,አልጋ ላይ,
11,aberration,n,"Deviation from a right, customary, or prescribed course",ከትክክለኛው መንገድ መዛባት,
12,abet,v,"To aid, promote, or encourage the commission of (an offense)",ወንጀል ማበረታታት፣ መርዳት,
13,abeyance,n,A state of suspension or temporary inaction,ጊዜያዊ እገታ ወይም እረፍት,
14,abhor,v,to strongly detest or dislike,መጥላት፣ መጸየፍ,
15,abhorrence,n,The act of detesting extremely,ከፍተኛ ጥላቻ,
16,abhorrent,adj,Very repugnant; hateful,አስጸያፊ፣ የሚጠላ,
17,abidance,n,An abiding,መኖር፣ መቆየት,
18,abject,adj,Sunk to a low condition,ወደ ዝቅተኛ ሁኔታ የወረደ,
19,abjure,v,"To recant, renounce, repudiate under oath",በመሐላ መካድ፣ መተው,
20,able-bodied,adj,Competent for physical service,ለአካላዊ ሥራ ብቃት ያለው,
21,ablution,n,"A washing or cleansing, especially of the body",መታጠብ፣ ማጽዳት (በተለይ ሰውነት),
22,abnegate,v,To renounce (a right or privilege),መተው፣ መካድ (መብት ወይም ልዩ መብት),
23,abnormal,adj,Not conformed to the ordinary rule or standard,ካልተለመደው ደንብ ውጪ,
24,abominable,adj,Very hateful,በጣም የሚጠላ፣ አስጸያፊ,
25,abominate,v,To hate violently,በኃይል መጥላት,
26,abomination,n,A very detestable act or practice,እጅግ አስጸያፊ ድርጊት,
27,aboriginal,adj,"Primitive; unsophisticated,original",ጥንታዊ፣ ቀዳሚ፣ ኦሪጅናል,
28,aborigines,n,The original of earliest known inhabitants of a country,የአንድ አገር የመጀመሪያ ኗሪዎች,
29,aboveboard,"adj,adv","Without concealment, fraud, or trickery",ያለ ሽፍታ ወይም ማጭበርበር,
30,abrade,v,To wear away the surface or some part of by friction,በመፍጨት ላይኛውን ማስወገድ,
31,abrasion,n,That which is rubbed off,የተፈጨ ነገር,
32,abridge,v,"To make shorter in words, keeping the essential features, leaning out minor particles,,to shorten something, especially a literary or artistic work",ማሳጠር፣ ማጭበርበር (መጽሐፍ ወይም ሥነ-ጽሑፍ),
33,abridgment,n,A condensed form as of a book or play,የተጨመቀ ቅጂ (የመጽሐፍ ወይም ተውኔት),
